surname,nationality,split,nationality_index
Ghanem,Arabic,train,1
Sayegh,Arabic,train,1
Sleiman,Arabic,train,1
Najjar,Arabic,train,1
Arian,Arabic,train,1
Maloof,Arabic,train,1
Maalouf,Arabic,train,1
Asghar,Arabic,train,1
Srour,Arabic,train,1
Shadid,Arabic,train,1
Boutros,Arabic,train,1
Moghadam,Arabic,train,1
Antoun,Arabic,train,1
Kalb,Arabic,train,1
Toma,Arabic,train,1
Said,Arabic,train,1
Cham,Arabic,train,1
Halabi,Arabic,train,1
Maroun,Arabic,train,1
Tannous,Arabic,train,1
Toma,Arabic,train,1
Daher,Arabic,train,1
Botros,Arabic,train,1
Sabbag,Arabic,train,1
Arian,Arabic,train,1
Handal,Arabic,train,1
Handal,Arabic,train,1
Shamon,Arabic,train,1
Ghannam,Arabic,train,1
Hadad,Arabic,train,1
Morcos,Arabic,train,1
Antar,Arabic,train,1
Daher,Arabic,train,1
Arian,Arabic,train,1
Nader,Arabic,train,1
Ganim,Arabic,train,1
Bazzi,Arabic,train,1
Deeb,Arabic,train,1
Sabbag,Arabic,train,1
Bahar,Arabic,train,1
Asker,Arabic,train,1
Abadi,Arabic,train,1
Haik,Arabic,train,1
Khoury,Arabic,train,1
Malouf,Arabic,train,1
Toma,Arabic,train,1
Cham,Arabic,train,1
Amari,Arabic,train,1
Issa,Arabic,train,1
Guirguis,Arabic,train,1
Morcos,Arabic,train,1
Hanania,Arabic,train,1
Harb,Arabic,train,1
Nazari,Arabic,train,1
Malouf,Arabic,train,1
Kanaan,Arabic,train,1
Tahan,Arabic,train,1
Shamon,Arabic,train,1
Abboud,Arabic,train,1
Ganim,Arabic,train,1
Daher,Arabic,train,1
Baba,Arabic,train,1
Attia,Arabic,train,1
Koury,Arabic,train,1
Shammas,Arabic,train,1
Dagher,Arabic,train,1
Naifeh,Arabic,train,1
Bazzi,Arabic,train,1
Amari,Arabic,train,1
Shammas,Arabic,train,1
Sarkis,Arabic,train,1
Isa,Arabic,train,1
Ghannam,Arabic,train,1
Shamoun,Arabic,train,1
Tuma,Arabic,train,1
Dagher,Arabic,train,1
Nader,Arabic,train,1
Baz,Arabic,train,1
Handal,Arabic,train,1
Hanania,Arabic,train,1
Hadad,Arabic,train,1
Abadi,Arabic,train,1
Asghar,Arabic,train,1
Shalhoub,Arabic,train,1
Shammas,Arabic,train,1
Shalhoub,Arabic,train,1
Awad,Arabic,train,1
Najjar,Arabic,train,1
Mifsud,Arabic,train,1
Rahal,Arabic,train,1
Handal,Arabic,train,1
Cham,Arabic,train,1
Bitar,Arabic,train,1
Antar,Arabic,train,1
Haik,Arabic,train,1
Antar,Arabic,train,1
Gaber,Arabic,train,1
Haddad,Arabic,train,1
Isa,Arabic,train,1
Dagher,Arabic,train,1
Amari,Arabic,train,1
Tuma,Arabic,train,1
Hadad,Arabic,train,1
Shadid,Arabic,train,1
Nahas,Arabic,train,1
Koury,Arabic,train,1
Deeb,Arabic,train,1
Sabbag,Arabic,train,1
Baz,Arabic,train,1
Qureshi,Arabic,train,1
Abboud,Arabic,train,1
Gerges,Arabic,train,1
Zogby,Arabic,train,1
Samaha,Arabic,train,1
Arian,Arabic,train,1
Tuma,Arabic,train,1
Deeb,Arabic,train,1
Sleiman,Arabic,train,1
Sarkis,Arabic,train,1
Kassis,Arabic,train,1
Saliba,Arabic,train,1
Aswad,Arabic,train,1
Naifeh,Arabic,train,1
Antar,Arabic,train,1
Sleiman,Arabic,train,1
Ganim,Arabic,train,1
Antar,Arabic,train,1
Nassar,Arabic,train,1
Najjar,Arabic,train,1
Daher,Arabic,train,1
Ganem,Arabic,train,1
Atiyeh,Arabic,train,1
Seif,Arabic,train,1
Morcos,Arabic,train,1
Baz,Arabic,train,1
Essa,Arabic,train,1
Shamoon,Arabic,train,1
Rahal,Arabic,train,1
Shamoon,Arabic,train,1
Najjar,Arabic,train,1
Samaha,Arabic,train,1
Sarraf,Arabic,train,1
Zogby,Arabic,train,1
Sabbagh,Arabic,train,1
Baz,Arabic,train,1
Naifeh,Arabic,train,1
Naser,Arabic,train,1
Ghannam,Arabic,train,1
Asghar,Arabic,train,1
Hakimi,Arabic,train,1
Malouf,Arabic,train,1
Antar,Arabic,train,1
Nader,Arabic,train,1
Hadad,Arabic,train,1
Baba,Arabic,train,1
Kassab,Arabic,train,1
Saliba,Arabic,train,1
Rahal,Arabic,train,1
Maloof,Arabic,train,1
Najjar,Arabic,train,1
Mustafa,Arabic,train,1
Zogby,Arabic,train,1
Ghannam,Arabic,train,1
Masih,Arabic,train,1
Antar,Arabic,train,1
Said,Arabic,train,1
Bitar,Arabic,train,1
Hanania,Arabic,train,1
Malouf,Arabic,train,1
Asker,Arabic,train,1
Bishara,Arabic,train,1
Zogby,Arabic,train,1
Hajjar,Arabic,train,1
Tuma,Arabic,train,1
Cham,Arabic,train,1
Maroun,Arabic,train,1
Shamon,Arabic,train,1
Boutros,Arabic,train,1
Zogby,Arabic,train,1
Nahas,Arabic,train,1
Deeb,Arabic,train,1
Saliba,Arabic,train,1
Hanania,Arabic,train,1
Naser,Arabic,train,1
Koury,Arabic,train,1
Totah,Arabic,train,1
Shamoon,Arabic,train,1
Daher,Arabic,train,1
Sarraf,Arabic,train,1
Botros,Arabic,train,1
Bazzi,Arabic,train,1
Srour,Arabic,train,1
Seif,Arabic,train,1
Atiyeh,Arabic,train,1
Mifsud,Arabic,train,1
Maroun,Arabic,train,1
Khoury,Arabic,train,1
Moghadam,Arabic,train,1
Guirguis,Arabic,train,1
Ganim,Arabic,train,1
Hadad,Arabic,train,1
Shamoun,Arabic,train,1
Fakhoury,Arabic,train,1
Nassar,Arabic,train,1
Baba,Arabic,train,1
Isa,Arabic,train,1
Fakhoury,Arabic,train,1
Koury,Arabic,train,1
Maalouf,Arabic,train,1
Hadad,Arabic,train,1
Nader,Arabic,train,1
Khouri,Arabic,train,1
Fakhoury,Arabic,train,1
Guirguis,Arabic,train,1
Hajjar,Arabic,train,1
Ganim,Arabic,train,1
Abadi,Arabic,train,1
Nader,Arabic,train,1
Bishara,Arabic,train,1
Gerges,Arabic,train,1
Maalouf,Arabic,train,1
Handal,Arabic,train,1
Mikhail,Arabic,train,1
Shammas,Arabic,train,1
Salib,Arabic,train,1
Shamoun,Arabic,train,1
Koury,Arabic,train,1
Mansour,Arabic,train,1
Saliba,Arabic,train,1
Said,Arabic,train,1
Ganim,Arabic,train,1
Tahan,Arabic,train,1
Essa,Arabic,train,1
Nassar,Arabic,train,1
Nader,Arabic,train,1
Maloof,Arabic,train,1
Nahas,Arabic,train,1
Quraishi,Arabic,train,1
Atiyeh,Arabic,train,1
Haik,Arabic,train,1
Bazzi,Arabic,train,1
Samaha,Arabic,train,1
Gerges,Arabic,train,1
Ghannam,Arabic,train,1
Koury,Arabic,train,1
Gaber,Arabic,train,1
Touma,Arabic,train,1
Botros,Arabic,train,1
Tahan,Arabic,train,1
Khouri,Arabic,train,1
Sayegh,Arabic,train,1
Asker,Arabic,train,1
Ghanem,Arabic,train,1
Sarkis,Arabic,train,1
Haddad,Arabic,train,1
Masih,Arabic,train,1
Sabbag,Arabic,train,1
Rahal,Arabic,train,1
Sleiman,Arabic,train,1
Basara,Arabic,train,1
Khoury,Arabic,train,1
Daher,Arabic,train,1
Said,Arabic,train,1
Basara,Arabic,train,1
Koury,Arabic,train,1
Sarraf,Arabic,train,1
Nahas,Arabic,train,1
Asker,Arabic,train,1
Moghadam,Arabic,train,1
Ganim,Arabic,train,1
Gaber,Arabic,train,1
Kouri,Arabic,train,1
Bazzi,Arabic,train,1
Shamoun,Arabic,train,1
Naifeh,Arabic,train,1
Najjar,Arabic,train,1
Boutros,Arabic,train,1
Botros,Arabic,train,1
Hadad,Arabic,train,1
Kassis,Arabic,train,1
Naser,Arabic,train,1
Morcos,Arabic,train,1
Bishara,Arabic,train,1
Ba,Arabic,train,1
Botros,Arabic,train,1
Abadi,Arabic,train,1
Haddad,Arabic,train,1
Naifeh,Arabic,train,1
Nahas,Arabic,train,1
Kanaan,Arabic,train,1
Rahal,Arabic,train,1
Arian,Arabic,train,1
Gerges,Arabic,train,1
Nazari,Arabic,train,1
Morcos,Arabic,train,1
Nahas,Arabic,train,1
Boulos,Arabic,train,1
Amari,Arabic,train,1
Kanaan,Arabic,train,1
Kattan,Arabic,train,1
Hanania,Arabic,train,1
Sleiman,Arabic,train,1
Hajjar,Arabic,train,1
Naifeh,Arabic,train,1
Quraishi,Arabic,train,1
Harb,Arabic,train,1
Nassar,Arabic,train,1
Rahal,Arabic,train,1
Gerges,Arabic,train,1
Nader,Arabic,train,1
Boutros,Arabic,train,1
Salib,Arabic,train,1
Sabbagh,Arabic,train,1
Sayegh,Arabic,train,1
Sarraf,Arabic,train,1
Kalb,Arabic,train,1
Hakimi,Arabic,train,1
Attia,Arabic,train,1
Zogby,Arabic,train,1
Ganem,Arabic,train,1
Saliba,Arabic,train,1
Hanania,Arabic,train,1
Abboud,Arabic,train,1
Toma,Arabic,train,1
Tahan,Arabic,train,1
Cham,Arabic,train,1
Srour,Arabic,train,1
Wasem,Arabic,train,1
Aswad,Arabic,train,1
Issa,Arabic,train,1
Baz,Arabic,train,1
Baba,Arabic,train,1
Shammas,Arabic,train,1
Sayegh,Arabic,train,1
Mifsud,Arabic,train,1
Hakimi,Arabic,train,1
Safar,Arabic,train,1
Kalb,Arabic,train,1
Mifsud,Arabic,train,1
Wasem,Arabic,train,1
Ghannam,Arabic,train,1
Harb,Arabic,train,1
Botros,Arabic,train,1
Khouri,Arabic,train,1
Baba,Arabic,train,1
Handal,Arabic,train,1
Bitar,Arabic,train,1
Nahas,Arabic,train,1
Shammas,Arabic,train,1
Tuma,Arabic,train,1
Hajjar,Arabic,train,1
Boutros,Arabic,train,1
Assaf,Arabic,train,1
Shalhoub,Arabic,train,1
Naifeh,Arabic,train,1
Guirguis,Arabic,train,1
Totah,Arabic,train,1
Naifeh,Arabic,train,1
Handal,Arabic,train,1
Arian,Arabic,train,1
Asker,Arabic,train,1
Totah,Arabic,train,1
Touma,Arabic,train,1
Malouf,Arabic,train,1
Zogby,Arabic,train,1
Mansour,Arabic,train,1
Bahar,Arabic,train,1
Sarraf,Arabic,train,1
Harb,Arabic,train,1
Hadad,Arabic,train,1
Almasi,Arabic,train,1
Shadid,Arabic,train,1
Bata,Arabic,train,1
Isa,Arabic,train,1
Abadi,Arabic,train,1
Bata,Arabic,train,1
Shamoon,Arabic,train,1
Safar,Arabic,train,1
Rahal,Arabic,train,1
Tahan,Arabic,train,1
Gaber,Arabic,train,1
Guirguis,Arabic,train,1
Nahas,Arabic,train,1
Guirguis,Arabic,train,1
Khouri,Arabic,train,1
Kalb,Arabic,train,1
Quraishi,Arabic,train,1
Nassar,Arabic,train,1
Shadid,Arabic,train,1
Bahar,Arabic,train,1
Nazari,Arabic,train,1
Mansour,Arabic,train,1
Bitar,Arabic,train,1
Moghadam,Arabic,train,1
Hadad,Arabic,train,1
Isa,Arabic,train,1
Samaha,Arabic,train,1
Aswad,Arabic,train,1
Hanania,Arabic,train,1
Guirguis,Arabic,train,1
Gaber,Arabic,train,1
Hakimi,Arabic,train,1
Asker,Arabic,train,1
Naifeh,Arabic,train,1
Sabbag,Arabic,train,1
Sarkis,Arabic,train,1
Aswad,Arabic,train,1
Haddad,Arabic,train,1
Samaha,Arabic,train,1
Asker,Arabic,train,1
Ganim,Arabic,train,1
Shamoon,Arabic,train,1
Harb,Arabic,train,1
Koury,Arabic,train,1
Sleiman,Arabic,train,1
Masih,Arabic,train,1
Attia,Arabic,train,1
Sabbag,Arabic,train,1
Srour,Arabic,train,1
Basara,Arabic,train,1
Ganem,Arabic,train,1
Kalb,Arabic,train,1
Awad,Arabic,train,1
Koury,Arabic,train,1
Nazari,Arabic,train,1
Sayegh,Arabic,train,1
Seif,Arabic,train,1
Hajjar,Arabic,train,1
Safar,Arabic,train,1
Daher,Arabic,train,1
Bazzi,Arabic,train,1
Shammas,Arabic,train,1
Mifsud,Arabic,train,1
Ganim,Arabic,train,1
Boulos,Arabic,train,1
Baba,Arabic,train,1
Attia,Arabic,train,1
Abboud,Arabic,train,1
Ba,Arabic,train,1
Mustafa,Arabic,train,1
Basara,Arabic,train,1
Haddad,Arabic,train,1
Hakimi,Arabic,train,1
Mustafa,Arabic,train,1
Maroun,Arabic,train,1
Gerges,Arabic,train,1
Haddad,Arabic,train,1
Nazari,Arabic,train,1
Nader,Arabic,train,1
Kassis,Arabic,train,1
Amari,Arabic,train,1
Gaber,Arabic,train,1
Sleiman,Arabic,train,1
Shammas,Arabic,train,1
Srour,Arabic,train,1
Najjar,Arabic,train,1
Bishara,Arabic,train,1
Kassis,Arabic,train,1
Tahan,Arabic,train,1
Ghannam,Arabic,train,1
Awad,Arabic,train,1
Nahas,Arabic,train,1
Kattan,Arabic,train,1
Kanaan,Arabic,train,1
Hadad,Arabic,train,1
Koury,Arabic,train,1
Naifeh,Arabic,train,1
Assaf,Arabic,train,1
Daher,Arabic,train,1
Koury,Arabic,train,1
Sabbag,Arabic,train,1
Sleiman,Arabic,train,1
Nassar,Arabic,train,1
Mansour,Arabic,train,1
Khoury,Arabic,train,1
Touma,Arabic,train,1
Moghadam,Arabic,train,1
Qureshi,Arabic,train,1
Qureshi,Arabic,train,1
Tuma,Arabic,train,1
Samaha,Arabic,train,1
Saliba,Arabic,train,1
Kattan,Arabic,train,1
Assaf,Arabic,train,1
Antar,Arabic,train,1
Gerges,Arabic,train,1
Bishara,Arabic,train,1
Koury,Arabic,train,1
Botros,Arabic,train,1
Maalouf,Arabic,train,1
Antar,Arabic,train,1
Aswad,Arabic,train,1
Asker,Arabic,train,1
Nassar,Arabic,train,1
Moghadam,Arabic,train,1
Kanaan,Arabic,train,1
Almasi,Arabic,train,1
Baz,Arabic,train,1
Almasi,Arabic,train,1
Najjar,Arabic,train,1
Ba,Arabic,train,1
Mustafa,Arabic,train,1
Sarkis,Arabic,train,1
Cham,Arabic,train,1
Arian,Arabic,train,1
Asghar,Arabic,train,1
Shamon,Arabic,train,1
Fakhoury,Arabic,train,1
Maalouf,Arabic,train,1
Tannous,Arabic,train,1
Khouri,Arabic,train,1
Sarraf,Arabic,train,1
Essa,Arabic,train,1
Issa,Arabic,train,1
Shamon,Arabic,train,1
Nassar,Arabic,train,1
Boutros,Arabic,train,1
Morcos,Arabic,train,1
Nader,Arabic,train,1
Attia,Arabic,train,1
Asghar,Arabic,train,1
Quraishi,Arabic,train,1
Said,Arabic,train,1
Mansour,Arabic,train,1
Gerges,Arabic,train,1
Nahas,Arabic,train,1
Koury,Arabic,train,1
Halabi,Arabic,train,1
Antar,Arabic,train,1
Aswad,Arabic,train,1
Handal,Arabic,train,1
Halabi,Arabic,train,1
Amari,Arabic,train,1
Quraishi,Arabic,train,1
Ghanem,Arabic,train,1
Naifeh,Arabic,train,1
Ganim,Arabic,train,1
Awad,Arabic,train,1
Botros,Arabic,train,1
Nassar,Arabic,train,1
Awad,Arabic,train,1
Kattan,Arabic,train,1
Antar,Arabic,train,1
Sarraf,Arabic,train,1
Amari,Arabic,train,1
Najjar,Arabic,train,1
Samaha,Arabic,train,1
Nahas,Arabic,train,1
Awad,Arabic,train,1
Aswad,Arabic,train,1
Cham,Arabic,train,1
Handal,Arabic,train,1
Ganem,Arabic,train,1
Ganim,Arabic,train,1
Essa,Arabic,train,1
Baba,Arabic,train,1
Sleiman,Arabic,train,1
Haddad,Arabic,train,1
Mustafa,Arabic,train,1
Nahas,Arabic,train,1
Koury,Arabic,train,1
Moghadam,Arabic,train,1
Awad,Arabic,train,1
Rahal,Arabic,train,1
Boulos,Arabic,train,1
Sarkis,Arabic,train,1
Halabi,Arabic,train,1
Antar,Arabic,train,1
Asker,Arabic,train,1
Naser,Arabic,train,1
Hakimi,Arabic,train,1
Daher,Arabic,train,1
Baz,Arabic,train,1
Maalouf,Arabic,train,1
Kassab,Arabic,train,1
Tuma,Arabic,train,1
Gaber,Arabic,train,1
Bazzi,Arabic,train,1
Bazzi,Arabic,train,1
Nader,Arabic,train,1
Amari,Arabic,train,1
Shamoun,Arabic,train,1
Totah,Arabic,train,1
Sleiman,Arabic,train,1
Zogby,Arabic,train,1
Ghanem,Arabic,train,1
Bitar,Arabic,train,1
Essa,Arabic,train,1
Toma,Arabic,train,1
Nazari,Arabic,train,1
Koury,Arabic,train,1
Daher,Arabic,train,1
Haddad,Arabic,train,1
Ghannam,Arabic,train,1
Khoury,Arabic,train,1
Essa,Arabic,train,1
Mansour,Arabic,train,1
Asfour,Arabic,train,1
Quraishi,Arabic,train,1
Mustafa,Arabic,train,1
Toma,Arabic,train,1
Sarkis,Arabic,train,1
Atiyeh,Arabic,train,1
